"HostName","OwnerDomain","Owner","UserSID","IsLocalUser","ProcessId","CommandLine","Description","Name","SessionId","CreationDate","Error"
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","1140","C:\Windows\system32\taskhostw.exe","Host Process for Windows Tasks","taskhostw","1","11/11/2024 11:45:21 AM",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","1352","C:\Windows\system32\taskhostw.exe","Host Process for Windows Tasks","taskhostw","0","11/15/2024 2:30:15 AM",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","4312","C:\Windows\system32\taskhostw.exe","Host Process for Windows Tasks","taskhostw","1","11/11/2024 11:55:04 AM",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","4472","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe","","TextInputHost","1","11/11/2024 11:45:23 AM",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","4212","C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.20348.557_none_f1edaeb8515fa10d\TiWorker.exe","Windows Modules Installer Worker","TiWorker","0","11/15/2024 2:29:11 AM",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","5304","C:\Windows\servicing\TrustedInstaller.exe","Windows Modules Installer","TrustedInstaller","0","11/15/2024 2:29:07 AM",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","3000","C:\Windows\system32\wbem\unsecapp.exe","Sink to receive asynchronous callbacks for WMI client application","unsecapp","0","11/11/2024 11:44:31 AM",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","2840","C:\Windows\System32\vds.exe","Virtual Disk Service","vds","0","11/11/2024 11:44:31 AM",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","2268","C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe","VMware Guest Authentication Service","VGAuthService","0","11/11/2024 11:44:31 AM",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","2244","C:\Windows\system32\vm3dservice.exe","VMware SVGA Helper Service","vm3dservice","0","11/11/2024 11:44:31 AM",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","2492","C:\Windows\system32\vm3dservice.exe","VMware SVGA Helper Service","vm3dservice","1","11/11/2024 11:44:31 AM",
"DC-SRV01","earth","Administrator","S-1-5-21-3318670742-1788910955-930507466-500","False","2212","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","VMware Tools Core Service","vmtoolsd","1","11/11/2024 11:45:35 AM",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","2252","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","VMware Tools Core Service","vmtoolsd","0","11/11/2024 11:44:31 AM",
"DC-SRV01",,,"S-0-0-0","True","500",,,"wininit","0","11/11/2024 11:44:18 AM",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","580","C:\Windows\system32\winlogon.exe","Windows Logon Application","winlogon","1","11/11/2024 11:44:18 AM",
"DC-SRV01","NT AUTHORITY","LOCAL SERVICE","S-1-5-19","True","2348","C:\Windows\System32\wins.exe","WINS SERVER","WINS","0","11/11/2024 11:44:31 AM",
"DC-SRV01",,,"S-0-0-0","True","6336",,,"WmiApSrv","0",,
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","3280","C:\Windows\system32\wbem\wmiprvse.exe","WMI Provider Host","WmiPrvSE","0","11/11/2024 11:44:33 AM",
"DC-SRV01","NT AUTHORITY","NETWORK SERVICE","S-1-5-20","True","3468","C:\Windows\system32\wbem\wmiprvse.exe","WMI Provider Host","WmiPrvSE","0","11/11/2024 11:44:34 AM",
"DC-SRV01","NT AUTHORITY","NETWORK SERVICE","S-1-5-20","True","4712","C:\Windows\system32\wbem\wmiprvse.exe","WMI Provider Host","WmiPrvSE","0","11/15/2024 2:29:51 AM",
"DC-SRV01","NT AUTHORITY","LOCAL SERVICE","S-1-5-19","True","5436","C:\Windows\system32\wbem\wmiprvse.exe","WMI Provider Host","WmiPrvSE","0","11/15/2024 2:29:35 AM",
"DC-SRV01","NT AUTHORITY","SYSTEM","S-1-5-18","True","6836","C:\Windows\system32\wbem\wmiprvse.exe","WMI Provider Host","WmiPrvSE","0","11/15/2024 2:29:39 AM",
